Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,2B405_NO_Concentration_ppbv,2B405_NO2_Concentration_ppbv,2B405_NOX_Concentration_ppbv,2B405_Internal_Air_Temperature_degC,2B405_Internal_Air_Pressure_hpa,2B405_Air_Flow_Rate_L/min,2B405_Cell_O3_Flow_Rate_mL/min,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID,AQI,PM2.5_Category,Meso_West_Category
2021-09-28 16:47:05,40.769764,-111.850365,163.8,-9999.0,-9999.0,-9999.0,12.62,21.31,22.87,23.75,5.0,2.0,20.22,28.0,852.3,0.0,-9999.0,2.19,32.0,819.7,6.1,-0.8,5.3,20.8,805.8,1.53,57.5,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=16, tm_min=47, tm_sec=5, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,47,16,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 16:48:45,40.766258,-111.847687,1474.7,-9999.0,-9999.0,-9999.0,12.56,21.34,22.94,23.58,5.0,2.0,20.28,27.0,852.2,0.0,-9999.0,2.19,32.2,819.7,1.2,0.7,1.9,20.9,805.7,1.57,57.0,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=16, tm_min=48, tm_sec=45, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,48,16,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 16:50:40,40.766178,-111.847633,1475.6,-9999.0,-9999.0,-9999.0,12.6,21.37,23.08,23.54,5.0,2.0,20.28,27.0,852.2,0.0,32.7,2.2,32.4,819.7,4.1,2.5,6.6,21.0,805.7,1.56,56.8,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=16, tm_min=50, tm_sec=40, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,50,16,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 16:52:30,40.766312,-111.847862,1476.4,-9999.0,-9999.0,-9999.0,12.59,21.37,23.08,23.58,5.0,2.0,20.39,27.0,852.4,0.0,32.3,2.21,32.6,819.3,1.9,-2.0,-0.1,21.1,805.7,1.57,57.1,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=16, tm_min=52, tm_sec=30, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,52,16,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 16:54:10,40.766491,-111.84771,1474.9,-9999.0,-9999.0,-9999.0,12.29,21.4,23.14,23.54,5.0,2.0,20.5,26.0,852.6,0.0,31.4,2.22,32.8,819.2,0.4,3.3,3.7,21.2,805.7,1.56,56.9,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=16, tm_min=54, tm_sec=10, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,54,16,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 16:55:55,40.766315,-111.847618,1473.7,-9999.0,-9999.0,-9999.0,12.58,21.42,23.14,23.44,4.0,2.0,20.5,26.0,852.4,0.0,36.7,2.2,32.9,819.2,2.6,1.3,3.9,21.2,805.6,1.56,57.0,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=16, tm_min=55, tm_sec=55, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,55,16,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 16:58:00,40.765717,-111.847237,1474.1,-9999.0,-9999.0,-9999.0,12.62,21.45,23.21,23.44,4.0,2.0,20.61,26.0,852.3,0.0,31.0,2.2,33.1,819.7,-1.6,5.9,4.3,21.4,805.6,1.56,57.2,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=16, tm_min=58, tm_sec=0, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,58,16,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 16:59:40,40.76635,-111.847656,1476.5,-9999.0,-9999.0,-9999.0,12.32,21.45,23.31,23.92,4.0,2.0,20.61,26.0,852.4,0.0,28.1,2.21,33.3,819.6,-3.9,5.0,1.1,21.4,805.5,1.56,56.9,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=16, tm_min=59, tm_sec=40, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,59,16,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 17:01:20,40.766315,-111.847641,1477.1,-9999.0,-9999.0,-9999.0,12.35,21.48,23.35,24.39,5.0,2.0,20.61,26.0,852.3,0.0,31.8,2.21,33.4,819.6,0.3,2.8,3.1,21.5,805.6,1.53,57.9,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=17, tm_min=1, tm_sec=20, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,1,17,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 17:03:40,40.766418,-111.848557,1480.3,-9999.0,-9999.0,-9999.0,12.38,21.48,23.35,24.59,5.0,2.0,20.72,26.0,852.5,0.0,33.7,2.21,33.6,819.7,1.8,1.2,3.0,21.6,805.5,1.56,57.1,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=17, tm_min=3, tm_sec=40, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,3,17,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 17:05:40,40.766308,-111.847618,1482.7,-9999.0,-9999.0,-9999.0,12.57,21.51,23.41,24.86,5.0,2.0,20.72,26.0,852.4,0.0,32.3,2.22,33.7,819.5,1.9,3.0,4.9,21.7,805.5,1.56,57.0,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=17, tm_min=5, tm_sec=40, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,5,17,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 17:07:20,40.766697,-111.847931,1481.9,-9999.0,-9999.0,-9999.0,12.62,21.53,23.48,25.0,4.0,2.0,20.78,26.0,852.4,0.0,31.5,2.22,33.8,819.5,4.1,4.2,8.3,21.8,805.4,1.53,58.2,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=17, tm_min=7, tm_sec=20, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,7,17,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 17:09:00,40.766315,-111.847687,1476.7,-9999.0,-9999.0,-9999.0,12.6,21.53,23.48,25.2,4.0,2.0,20.78,26.0,852.4,0.0,29.6,2.22,33.9,819.5,7.1,-0.3,6.8,21.9,805.4,1.57,57.6,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=17, tm_min=9, tm_sec=0, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,9,17,BUS01,Good,< 12.00,4.00 - 6.00
2021-09-28 17:10:45,40.766521,-111.847389,1473.1,-9999.0,-9999.0,-9999.0,12.63,21.56,23.55,25.17,4.0,2.0,20.78,27.0,852.3,0.0,29.2,2.21,34.0,819.5,4.7,0.0,4.7,22.0,805.4,1.57,57.6,0.0,0,0,"time.struct_time(tm_year=2021, tm_mon=9, tm_mday=28, tm_hour=17, tm_min=10, tm_sec=45, tm_wday=1, tm_yday=271, tm_isdst=-1)",2021-09-28,2021,9,271,28,10,17,BUS01,Good,< 12.00,4.00 - 6.00
