Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES405_PM1_Concentration_ug/m3,ES405_PM2.5_Concentration_ug/m3,ES405_PM4_Concentration_ug/m3,ES405_PM10_Concentration_ug/m3,ES405_Air_Flow_Rate_L/min,ES405_Internal_Air_Temperature_degC,ES405_Internal_Relative_Humidity_%,ES405_Internal_Air_Pressure_hpa,ES405_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID,AQI,PM2.5_Category,Meso_West_Category
2023-05-03 23:05:00,40.762569,-111.911087,1287.5,0.0,0.0,1.0,13.47,24.97,25.59,14.54,1.4,2.9,5.2,6.5,1.0,23.89,23.0,647.6,0.0,-9999.0,1.98,25.5,832.2,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=3, tm_hour=23, tm_min=5, tm_sec=0, tm_wday=2, tm_yday=123, tm_isdst=-1)",2023-05-03,2023,5,123,3,5,23,BUS04,Good,< 12.00,2.00 - 4.00
2023-05-04 12:10:00,40.761333,-111.910507,1203.1,0.0,3.5,1.0,13.69,17.52,16.75,36.24,1.3,2.4,3.4,3.8,1.0,16.5,27.6,648.4,0.0,48.9,1.95,19.8,833.4,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=4, tm_hour=12, tm_min=10, tm_sec=0, tm_wday=3, tm_yday=124, tm_isdst=-1)",2023-05-04,2023,5,124,4,10,12,BUS04,Good,< 12.00,2.00 - 4.00
2023-05-04 12:30:00,40.761051,-111.910202,1250.4,3.34,93.7,1.0,13.65,17.81,16.79,36.46,0.9,2.1,3.3,4.3,1.0,18.0,29.4,648.4,0.0,48.7,2.01,25.9,833.5,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=4, tm_hour=12, tm_min=30, tm_sec=0, tm_wday=3, tm_yday=124, tm_isdst=-1)",2023-05-04,2023,5,124,4,30,12,BUS04,Good,< 12.00,2.00 - 4.00
2023-05-04 12:50:00,40.763744,-111.909576,1283.9,0.0,168.5,1.0,13.67,17.74,16.11,38.18,1.4,3.1,5.5,7.6,1.0,18.72,29.8,648.6,0.0,46.7,2.07,28.0,833.9,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=4, tm_hour=12, tm_min=50, tm_sec=0, tm_wday=3, tm_yday=124, tm_isdst=-1)",2023-05-04,2023,5,124,4,50,12,BUS04,Good,< 12.00,2.00 - 4.00
2023-05-04 13:10:00,40.767105,-111.885574,1319.2,0.0,99.7,1.0,13.67,17.17,15.18,39.39,2.0,4.7,8.7,11.5,1.0,19.28,28.0,646.8,0.0,43.3,2.05,28.7,831.8,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=4, tm_hour=13, tm_min=10, tm_sec=0, tm_wday=3, tm_yday=124, tm_isdst=-1)",2023-05-04,2023,5,124,4,10,13,BUS04,Good,< 12.00,4.00 - 6.00
2023-05-04 13:32:00,40.767208,-111.882744,1310.6,8.85,269.2,1.0,13.69,17.1,15.75,38.16,3.0,8.8,18.9,26.3,1.0,18.78,28.0,646.9,0.0,45.1,2.04,28.4,831.6,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=4, tm_hour=13, tm_min=32, tm_sec=0, tm_wday=3, tm_yday=124, tm_isdst=-1)",2023-05-04,2023,5,124,4,32,13,BUS04,Good,< 12.00,8.00 - 10.00
2023-05-04 13:52:00,40.763699,-111.909523,1287.4,0.0,176.3,1.0,13.65,17.03,15.81,43.44,1.5,3.4,6.7,8.4,1.0,19.11,29.9,649.0,0.0,19.7,2.07,28.6,834.3,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=4, tm_hour=13, tm_min=52, tm_sec=0, tm_wday=3, tm_yday=124, tm_isdst=-1)",2023-05-04,2023,5,124,4,52,13,BUS04,Good,< 12.00,2.00 - 4.00
2023-05-04 14:12:00,40.7672,-111.874931,1322.7,13.99,91.1,1.0,13.65,17.34,16.83,38.78,2.0,5.7,12.3,20.5,1.0,19.39,27.7,646.4,0.0,33.6,2.07,28.8,830.4,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=4, tm_hour=14, tm_min=12, tm_sec=0, tm_wday=3, tm_yday=124, tm_isdst=-1)",2023-05-04,2023,5,124,4,12,14,BUS04,Good,< 12.00,4.00 - 6.00
2023-05-04 14:40:00,40.764946,-111.860031,1365.7,0.0,356.2,1.0,13.66,18.05,20.65,30.04,1.4,3.0,5.6,7.3,1.0,19.39,29.4,643.7,0.0,-9999.0,2.03,27.2,827.4,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=4, tm_hour=14, tm_min=40, tm_sec=0, tm_wday=3, tm_yday=124, tm_isdst=-1)",2023-05-04,2023,5,124,4,40,14,BUS04,Good,< 12.00,2.00 - 4.00
2023-05-04 15:06:00,40.763699,-111.909584,1278.8,0.0,173.1,1.0,13.62,18.54,18.46,32.82,1.1,2.6,4.8,6.6,1.0,19.72,29.1,648.8,0.0,46.0,2.05,28.4,833.9,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=5, tm_mday=4, tm_hour=15, tm_min=6, tm_sec=0, tm_wday=3, tm_yday=124, tm_isdst=-1)",2023-05-04,2023,5,124,4,6,15,BUS04,Good,< 12.00,2.00 - 4.00
