Label (Grouping),ZCTA5 81324,ZCTA5 82930,ZCTA5 83342,ZCTA5 84001,ZCTA5 84002,ZCTA5 84003,ZCTA5 84004,ZCTA5 84005,ZCTA5 84006,ZCTA5 84007,ZCTA5 84008,ZCTA5 84009,ZCTA5 84010,ZCTA5 84013,ZCTA5 84014,ZCTA5 84015,ZCTA5 84017,ZCTA5 84018,ZCTA5 84020,ZCTA5 84021,ZCTA5 84022,ZCTA5 84023,ZCTA5 84024,ZCTA5 84025,ZCTA5 84026,ZCTA5 84027,ZCTA5 84028,ZCTA5 84029,ZCTA5 84031,ZCTA5 84032,ZCTA5 84033,ZCTA5 84034,ZCTA5 84035,ZCTA5 84036,ZCTA5 84037,ZCTA5 84038,ZCTA5 84039,ZCTA5 84040,ZCTA5 84041,ZCTA5 84042,ZCTA5 84043,ZCTA5 84044,ZCTA5 84045,ZCTA5 84046,ZCTA5 84047,ZCTA5 84049,ZCTA5 84050,ZCTA5 84051,ZCTA5 84052,ZCTA5 84053,ZCTA5 84054,ZCTA5 84055,ZCTA5 84056,ZCTA5 84057,ZCTA5 84058,ZCTA5 84059,ZCTA5 84060,ZCTA5 84061,ZCTA5 84062,ZCTA5 84063,ZCTA5 84064,ZCTA5 84065,ZCTA5 84066,ZCTA5 84067,ZCTA5 84069,ZCTA5 84070,ZCTA5 84071,ZCTA5 84072,ZCTA5 84073,ZCTA5 84074,ZCTA5 84075,ZCTA5 84076,ZCTA5 84078,ZCTA5 84080,ZCTA5 84081,ZCTA5 84082,ZCTA5 84083,ZCTA5 84084,ZCTA5 84085,ZCTA5 84086,ZCTA5 84087,ZCTA5 84088,ZCTA5 84092,ZCTA5 84093,ZCTA5 84094,ZCTA5 84095,ZCTA5 84096,ZCTA5 84097,ZCTA5 84098,ZCTA5 84101,ZCTA5 84102,ZCTA5 84103,ZCTA5 84104,ZCTA5 84105,ZCTA5 84106,ZCTA5 84107,ZCTA5 84108,ZCTA5 84109,ZCTA5 84111,ZCTA5 84112,ZCTA5 84113,ZCTA5 84114,ZCTA5 84115,ZCTA5 84116,ZCTA5 84117,ZCTA5 84118,ZCTA5 84119,ZCTA5 84120,ZCTA5 84121,ZCTA5 84123,ZCTA5 84124,ZCTA5 84128,ZCTA5 84129,ZCTA5 84138,ZCTA5 84150,ZCTA5 84180,ZCTA5 84301,ZCTA5 84302,ZCTA5 84304,ZCTA5 84305,ZCTA5 84306,ZCTA5 84307,ZCTA5 84308,ZCTA5 84309,ZCTA5 84310,ZCTA5 84311,ZCTA5 84312,ZCTA5 84313,ZCTA5 84314,ZCTA5 84315,ZCTA5 84316,ZCTA5 84317,ZCTA5 84318,ZCTA5 84319,ZCTA5 84320,ZCTA5 84321,ZCTA5 84322,ZCTA5 84324,ZCTA5 84325,ZCTA5 84326,ZCTA5 84327,ZCTA5 84328,ZCTA5 84329,ZCTA5 84330,ZCTA5 84331,ZCTA5 84332,ZCTA5 84333,ZCTA5 84334,ZCTA5 84335,ZCTA5 84336,ZCTA5 84337,ZCTA5 84338,ZCTA5 84339,ZCTA5 84340,ZCTA5 84341,ZCTA5 84401,ZCTA5 84403,ZCTA5 84404,ZCTA5 84405,ZCTA5 84408,ZCTA5 84414,ZCTA5 84501,ZCTA5 84511,ZCTA5 84512,ZCTA5 84513,ZCTA5 84515,ZCTA5 84516,ZCTA5 84518,ZCTA5 84520,ZCTA5 84521,ZCTA5 84522,ZCTA5 84523,ZCTA5 84525,ZCTA5 84526,ZCTA5 84528,ZCTA5 84529,ZCTA5 84530,ZCTA5 84531,ZCTA5 84532,ZCTA5 84533,ZCTA5 84534,ZCTA5 84535,ZCTA5 84536,ZCTA5 84537,ZCTA5 84539,ZCTA5 84540,ZCTA5 84542,ZCTA5 84601,ZCTA5 84602,ZCTA5 84604,ZCTA5 84606,ZCTA5 84620,ZCTA5 84621,ZCTA5 84622,ZCTA5 84623,ZCTA5 84624,ZCTA5 84626,ZCTA5 84627,ZCTA5 84628,ZCTA5 84629,ZCTA5 84630,ZCTA5 84631,ZCTA5 84632,ZCTA5 84633,ZCTA5 84634,ZCTA5 84635,ZCTA5 84636,ZCTA5 84637,ZCTA5 84638,ZCTA5 84639,ZCTA5 84640,ZCTA5 84642,ZCTA5 84643,ZCTA5 84644,ZCTA5 84645,ZCTA5 84646,ZCTA5 84647,ZCTA5 84648,ZCTA5 84649,ZCTA5 84651,ZCTA5 84652,ZCTA5 84653,ZCTA5 84654,ZCTA5 84655,ZCTA5 84656,ZCTA5 84657,ZCTA5 84660,ZCTA5 84662,ZCTA5 84663,ZCTA5 84664,ZCTA5 84665,ZCTA5 84667,ZCTA5 84701,ZCTA5 84710,ZCTA5 84711,ZCTA5 84712,ZCTA5 84713,ZCTA5 84714,ZCTA5 84715,ZCTA5 84716,ZCTA5 84718,ZCTA5 84719,ZCTA5 84720,ZCTA5 84721,ZCTA5 84722,ZCTA5 84723,ZCTA5 84724,ZCTA5 84725,ZCTA5 84726,ZCTA5 84728,ZCTA5 84729,ZCTA5 84730,ZCTA5 84731,ZCTA5 84732,ZCTA5 84733,ZCTA5 84734,ZCTA5 84735,ZCTA5 84736,ZCTA5 84737,ZCTA5 84738,ZCTA5 84739,ZCTA5 84740,ZCTA5 84741,ZCTA5 84742,ZCTA5 84743,ZCTA5 84744,ZCTA5 84745,ZCTA5 84746,ZCTA5 84747,ZCTA5 84749,ZCTA5 84750,ZCTA5 84751,ZCTA5 84752,ZCTA5 84753,ZCTA5 84754,ZCTA5 84755,ZCTA5 84756,ZCTA5 84757,ZCTA5 84758,ZCTA5 84759,ZCTA5 84760,ZCTA5 84761,ZCTA5 84762,ZCTA5 84763,ZCTA5 84764,ZCTA5 84765,ZCTA5 84766,ZCTA5 84767,ZCTA5 84770,ZCTA5 84772,ZCTA5 84773,ZCTA5 84774,ZCTA5 84775,ZCTA5 84776,ZCTA5 84779,ZCTA5 84780,ZCTA5 84781,ZCTA5 84782,ZCTA5 84783,ZCTA5 84784,ZCTA5 84790,ZCTA5 86044,ZCTA5 86514
Total:,"1,602","13,894","1,169",719,280,"52,970","10,259","43,113",829,530,0,"38,347","48,439","1,090","16,870","68,548","4,076",236,"51,017","3,198",423,228,61,"24,596",910,604,955,"13,269",278,"24,766","1,150",181,722,"8,300","39,763",439,"1,065","26,687","55,289","11,330","76,954","29,284","36,898",698,"37,146","6,655","12,059",390,"1,257",850,"21,552","1,473","4,088","38,401","33,734","15,567","8,621",514,"47,771",477,744,"49,295","13,287","39,194",492,"30,885","1,946",402,211,"55,001","32,274",383,"29,172",328,"51,426",832,"1,115","32,568",419,359,"16,217","37,856","29,492","23,609","28,751","39,278","69,086","23,038","20,573","8,140","18,857","22,788","23,487","22,856","35,892","37,713","21,261","24,768","12,162","3,302",173,0,"27,588","35,327","25,675","41,493","54,143","51,212","41,628","39,489","22,872","31,406","37,421",0,0,0,900,"26,564",38,823,575,"1,592",302,654,"4,907",872,"4,483",93,"1,157","9,635",240,"2,523","5,296","9,570","2,411","49,550",0,"1,128","2,476","2,420",947,"1,829",222,505,348,"8,238","3,207",249,"15,504",281,"13,880",512,"5,847","3,834","24,181","42,968","37,847","66,382","34,285",367,"32,471","13,111","4,603",920,"1,554",10,186,861,"1,225",686,336,"1,625",968,"3,888","2,358",205,560,448,"10,203",105,"2,653","2,323","1,637","1,285",335,70,"1,629","33,986","2,366","45,503","33,791","1,169",137,"1,527",307,"5,836",338,"5,882",697,"2,583",265,"2,985","1,263","1,082","3,630",764,570,688,308,998,117,"3,494",633,381,"3,117","1,902","4,549","6,830",789,"28,416",850,"11,103","2,584","15,287",364,452,"45,959","1,403","35,647","11,365",571,423,"8,883",162,895,190,"4,316",828,416,317,190,195,"23,607","27,329",681,552,"1,213","2,298",954,131,328,554,186,72,127,192,262,236,"21,212","9,064",408,212,"6,034",545,134,334,"4,347","1,162",969,212,390,"1,662",891,21,"4,004",83,447,"1,653",588,"2,064",824,"3,210",393,226,357,"7,593",166,648,"44,505",178,250,"1,865",430,488,730,"28,025",257,907,907,"1,127","52,982","4,127","2,399"
    Hispanic or Latino,115,"1,754",184,28,15,"4,086",392,"4,952",71,5,0,"3,994","3,864",66,"1,060","10,396",516,14,"4,728",180,50,8,13,"1,344",38,41,53,"1,015",11,"4,069",74,10,41,"1,174","2,276",13,62,"2,499","8,855","1,003","6,698","10,069","3,512",20,"8,507",372,324,8,111,29,"3,653",134,699,"9,623","6,906","2,428","1,631",53,"5,143",45,29,"3,689","1,009","6,838",14,"5,734",138,4,6,"7,452","2,785",9,"2,459",48,"11,584",12,797,"7,611",9,2,"1,343","8,046","1,684","1,386","2,932","3,018","8,514","2,841","1,729","1,278","1,920","1,966","11,289","1,822","4,049","6,137","1,116","1,382","2,160",506,28,0,"6,509","15,396","2,279","16,892","22,692","19,347","2,916","8,714","1,669","11,901","8,764",0,0,0,44,"2,819",1,31,29,214,41,29,191,42,356,3,66,749,8,114,327,"1,552",260,"7,337",0,42,95,134,32,46,9,22,21,429,166,21,"1,409",33,"1,502",63,263,272,"2,890","9,768","7,865","15,888","4,853",54,"2,943","1,692",275,16,72,1,7,23,224,28,12,43,296,449,187,43,28,10,"1,250",6,42,312,5,39,62,10,202,"10,609",189,"4,952","5,662",35,8,181,129,941,152,800,46,70,48,542,81,232,518,130,42,45,4,56,2,172,40,9,82,501,346,384,6,"3,965",25,558,225,"2,007",19,21,"6,089",77,"5,729",507,32,41,428,3,15,8,574,221,12,9,7,16,"1,884","2,941",43,106,89,110,40,23,10,12,7,0,5,13,3,11,"2,119",766,11,11,274,20,0,12,496,51,29,9,3,365,116,1,169,4,126,90,14,109,31,219,13,11,169,519,9,74,"7,816",13,16,90,17,30,66,"2,704",14,38,40,33,"5,396",45,34
    Not Hispanic or Latino:,"1,487","12,140",985,691,265,"48,884","9,867","38,161",758,525,0,"34,353","44,575","1,024","15,810","58,152","3,560",222,"46,289","3,018",373,220,48,"23,252",872,563,902,"12,254",267,"20,697","1,076",171,681,"7,126","37,487",426,"1,003","24,188","46,434","10,327","70,256","19,215","33,386",678,"28,639","6,283","11,735",382,"1,146",821,"17,899","1,339","3,389","28,778","26,828","13,139","6,990",461,"42,628",432,715,"45,606","12,278","32,356",478,"25,151","1,808",398,205,"47,549","29,489",374,"26,713",280,"39,842",820,318,"24,957",410,357,"14,874","29,810","27,808","22,223","25,819","36,260","60,572","20,197","18,844","6,862","16,937","20,822","12,198","21,034","31,843","31,576","20,145","23,386","10,002","2,796",145,0,"21,079","19,931","23,396","24,601","31,451","31,865","38,712","30,775","21,203","19,505","28,657",0,0,0,856,"23,745",37,792,546,"1,378",261,625,"4,716",830,"4,127",90,"1,091","8,886",232,"2,409","4,969","8,018","2,151","42,213",0,"1,086","2,381","2,286",915,"1,783",213,483,327,"7,809","3,041",228,"14,095",248,"12,378",449,"5,584","3,562","21,291","33,200","29,982","50,494","29,432",313,"29,528","11,419","4,328",904,"1,482",9,179,838,"1,001",658,324,"1,582",672,"3,439","2,171",162,532,438,"8,953",99,"2,611","2,011","1,632","1,246",273,60,"1,427","23,377","2,177","40,551","28,129","1,134",129,"1,346",178,"4,895",186,"5,082",651,"2,513",217,"2,443","1,182",850,"3,112",634,528,643,304,942,115,"3,322",593,372,"3,035","1,401","4,203","6,446",783,"24,451",825,"10,545","2,359","13,280",345,431,"39,870","1,326","29,918","10,858",539,382,"8,455",159,880,182,"3,742",607,404,308,183,179,"21,723","24,388",638,446,"1,124","2,188",914,108,318,542,179,72,122,179,259,225,"19,093","8,298",397,201,"5,760",525,134,322,"3,851","1,111",940,203,387,"1,297",775,20,"3,835",79,321,"1,563",574,"1,955",793,"2,991",380,215,188,"7,074",157,574,"36,689",165,234,"1,775",413,458,664,"25,321",243,869,867,"1,094","47,586","4,082","2,365"
            White alone,"1,348","11,355",959,664,257,"45,270","9,321","34,872",683,516,0,"29,916","40,616",949,"14,761","51,304","3,420",211,"40,534","2,877",299,211,45,"21,774",249,539,860,"11,646",261,"19,477","1,047",64,638,"6,834","35,482",417,832,"21,780","41,085","9,576","63,535","16,441","30,431",662,"23,287","6,049","11,351",380,996,709,"15,158","1,296","2,614","25,275","23,319","11,301","6,381",440,"39,294",212,690,"41,893","10,497","28,956",457,"21,241","1,705",388,187,"43,494","27,009",365,"24,745",252,"33,952",811,273,"21,230",113,352,"13,499","25,776","25,270","20,079","22,741","31,619","54,297","18,189","17,363","5,236","13,676","17,971","7,234","18,698","27,577","25,243","17,173","21,187","7,798","1,929",95,0,"15,376","13,412","20,886","19,853","21,013","22,936","34,778","25,134","18,758","15,201","23,563",0,0,0,836,"22,335",37,773,518,"1,290",254,597,"4,503",809,"3,962",85,"1,033","8,417",227,"2,314","4,758","7,546","2,074","38,348",0,"1,039","2,277","2,202",898,"1,731",203,478,313,"7,389","2,974",208,"13,372",238,"11,704",433,"5,344","3,409","18,966","29,537","26,718","45,851","27,016",222,"27,731","10,687","2,742",179,"1,439",5,177,824,940,641,297,"1,530",646,"3,256","2,086",148,505,15,"7,977",85,34,"1,806",33,"1,200",254,44,"1,346","19,875","1,959","35,764","24,504","1,109",129,"1,281",173,"4,703",180,"4,631",631,"2,450",203,"2,233","1,134",827,"2,808",619,511,580,301,924,108,"3,131",573,354,"2,949","1,313","3,839","6,198",758,"23,194",793,"10,105","2,288","12,682",336,420,"37,276","1,268","27,551","10,327",513,371,"7,866",139,862,179,"3,539",545,384,285,180,163,"19,755","22,418",613,426,"1,060","2,125",889,105,309,525,177,70,115,166,255,204,"17,794","7,751",360,198,"5,419",498,134,296,"3,620","1,073",901,190,378,"1,236",753,18,"3,668",73,302,"1,510",556,"1,846",768,"2,895",363,198,142,"6,647",146,534,"33,170",156,225,"1,690",384,440,619,"23,431",238,843,818,"1,085","43,639",94,39
            Black or African American alone,18,46,1,0,1,249,41,287,3,0,0,376,380,2,96,"1,025",7,0,654,5,16,0,0,167,1,1,4,38,0,99,0,0,1,32,198,0,8,333,793,44,411,403,272,1,979,15,12,0,0,3,277,1,246,255,459,116,53,0,236,2,5,282,14,419,0,403,9,0,1,364,332,0,74,0,724,2,9,368,0,2,93,357,221,146,190,299,626,140,95,312,369,360,910,234,631,"1,666",159,180,500,200,11,0,"1,603","1,602",330,538,"2,189","1,319",259,"1,204",251,527,605,0,0,0,2,86,0,0,0,2,1,0,21,2,10,0,6,46,1,4,20,21,5,587,0,5,12,0,2,1,0,0,1,14,3,2,60,1,36,7,40,7,272,765,597,843,393,33,156,40,15,1,0,0,0,0,1,0,0,0,0,1,2,1,0,0,62,0,5,6,5,0,0,3,7,321,14,350,287,2,0,7,0,6,0,40,2,5,0,6,0,0,116,1,0,2,0,0,0,13,0,0,1,0,35,8,0,94,0,63,2,27,0,0,209,3,185,33,5,0,46,1,0,0,23,2,0,0,0,0,269,101,2,0,1,7,0,0,0,0,0,0,1,0,0,1,73,22,1,0,21,0,0,0,7,0,0,0,0,0,0,0,13,0,2,4,0,4,0,1,4,2,0,12,0,3,392,0,0,2,1,0,8,122,0,1,2,0,253,5,3
            American Indian and Alaska Native alone,23,94,1,7,5,162,12,109,10,1,0,75,168,6,27,390,3,0,270,58,8,0,0,58,580,3,1,88,0,52,0,95,9,15,95,0,110,95,326,22,236,171,98,0,293,13,31,0,101,71,145,3,11,230,162,106,12,1,123,198,0,148,"1,184",216,0,204,3,1,12,302,73,3,520,1,239,0,8,227,276,0,59,139,63,45,128,112,224,68,33,123,154,88,257,86,197,373,61,90,161,3,0,0,350,412,78,295,660,390,142,331,87,229,303,0,0,0,12,230,0,2,4,14,2,0,17,4,22,1,3,35,0,1,6,39,9,269,0,5,13,6,0,2,1,1,2,12,9,1,38,2,68,0,24,13,189,362,211,375,104,4,86,157,"1,322",699,9,0,1,1,7,2,7,17,1,19,10,0,7,420,350,6,"2,534",93,"1,567",7,0,2,16,225,2,172,192,1,0,14,1,20,1,38,0,3,0,35,6,3,96,3,2,36,0,0,0,25,13,0,4,6,27,33,3,93,3,31,4,62,1,0,162,0,214,28,8,3,247,8,4,0,50,22,9,4,0,2,318,582,1,2,13,15,11,0,2,2,1,0,1,5,0,13,163,102,16,0,92,4,0,1,38,6,3,0,1,18,1,0,22,1,4,9,2,31,3,13,5,2,21,25,0,5,579,2,1,11,1,10,8,194,0,1,14,3,386,"3,915","2,280"
            Asian alone,2,84,1,1,0,727,94,339,1,0,0,"1,658",767,0,261,"1,529",21,0,"2,281",5,15,1,2,350,1,1,2,48,0,284,3,2,0,40,411,0,0,579,"1,221",158,"1,917",338,426,0,"1,587",37,57,0,3,1,747,6,83,717,749,378,237,1,572,5,0,"1,109",61,738,1,"1,514",2,0,0,441,625,0,138,0,"1,644",3,4,"1,013",0,0,246,"1,238",977,856,"1,047","2,395","1,659",425,436,586,"1,616",974,"1,228",695,"1,396","1,829","1,696",903,821,468,22,0,"1,933","1,564",783,"1,200","3,139","2,914","1,380","1,577",983,"1,495","1,792",0,0,0,3,163,0,0,3,27,1,2,32,1,35,1,7,94,0,11,54,73,8,"1,126",0,7,9,17,0,6,0,0,0,104,0,3,126,2,162,0,22,22,757,625,624,691,488,18,370,47,10,7,7,0,0,3,2,1,1,3,7,9,13,0,2,0,75,2,0,7,0,4,0,3,5,538,67,"1,323",845,1,0,9,0,31,0,51,2,8,0,82,0,0,0,0,2,8,0,0,0,4,0,11,3,3,94,25,2,131,1,42,2,23,2,0,245,3,270,51,1,2,26,1,0,0,25,8,1,7,1,4,374,204,0,0,4,9,4,1,0,0,0,0,0,0,0,0,144,82,0,0,52,10,0,0,20,7,2,4,0,7,0,0,4,0,3,10,2,11,1,14,4,0,6,72,2,10,407,1,1,17,8,0,4,291,0,0,2,1,726,2,14
            Native Hawaiian and Other Pacific Islander alone,4,19,0,0,0,382,24,419,12,0,0,463,711,6,112,614,3,0,228,7,5,0,0,72,0,1,0,33,0,36,4,0,0,7,136,0,1,116,410,91,673,781,357,2,546,5,0,1,1,0,572,1,40,540,517,318,7,1,364,0,4,346,31,194,0,312,4,2,0,592,149,0,92,1,"1,111",0,2,754,0,0,256,667,94,114,236,371,764,289,19,122,111,145,"1,742",93,287,335,63,66,124,25,4,0,312,"1,453",129,"1,240","2,649","2,602",129,784,94,999,907,0,0,0,0,50,0,0,0,7,0,0,7,0,0,0,9,12,0,6,5,67,5,290,0,0,4,3,0,5,0,0,0,38,7,0,28,0,23,0,8,9,200,128,120,231,193,8,65,26,40,1,1,0,0,0,0,0,0,0,0,3,6,0,1,0,11,1,1,2,3,0,0,0,0,698,21,484,453,1,0,0,1,4,0,139,3,2,2,9,4,1,2,0,0,0,0,0,0,26,1,0,11,40,22,27,0,119,3,11,6,50,0,1,336,7,332,35,0,1,26,0,1,0,8,3,0,0,0,0,150,79,0,0,1,2,2,0,0,0,0,0,0,1,0,0,119,56,0,0,1,1,0,2,26,0,1,0,0,6,7,0,8,0,0,0,0,3,0,4,0,0,2,56,0,2,498,0,0,1,1,0,3,248,0,0,0,0,596,3,5
            Some Other Race alone,6,60,0,0,0,174,25,180,6,0,0,154,188,2,58,251,5,0,217,9,2,1,0,47,0,1,0,33,0,38,0,3,1,12,97,0,4,138,207,22,256,115,171,1,238,19,9,0,4,1,67,2,9,201,162,80,38,0,186,0,1,200,46,134,0,173,16,2,0,226,115,0,95,0,219,1,2,160,0,0,52,170,108,83,144,202,277,87,104,92,118,148,108,116,160,225,105,92,79,67,1,0,201,189,161,181,181,160,191,176,88,87,162,0,0,0,0,29,0,0,2,5,2,4,17,1,7,0,2,26,0,9,4,23,7,138,0,0,11,14,5,3,2,1,6,45,7,0,58,2,27,0,19,13,86,185,194,219,63,26,156,34,8,0,2,0,0,0,7,0,1,0,2,6,5,3,0,1,61,0,0,10,5,6,4,1,4,132,4,151,121,0,0,0,2,12,0,21,1,4,0,9,1,0,0,0,1,1,0,3,0,18,1,1,2,2,23,4,0,61,0,18,0,30,1,0,184,7,114,40,2,0,26,0,0,0,8,5,0,0,0,0,64,78,3,0,11,2,0,1,1,1,0,0,1,1,0,0,86,42,0,0,16,2,0,0,16,6,2,1,1,1,0,0,9,0,1,3,0,0,1,5,1,4,3,10,2,5,156,0,1,19,0,0,3,86,1,4,5,1,174,2,0
            Population of two races:,83,468,21,18,2,"1,744",328,"1,801",42,7,0,"1,589","1,631",53,464,"2,809",98,11,"2,007",56,25,4,1,738,39,17,29,360,5,672,22,4,32,184,984,8,44,"1,050","2,190",386,"2,947",915,"1,493",11,"1,606",133,242,1,41,35,893,29,347,"1,399","1,349",733,240,18,"1,731",13,14,"1,564",413,"1,595",20,"1,224",67,5,5,"2,042","1,097",6,"1,005",26,"1,817",3,18,"1,157",17,3,634,"1,365","1,026",835,"1,265","1,204","2,543",892,769,373,853,"1,093",670,"1,065","1,502","1,796",853,839,493,101,12,0,"1,215","1,193",961,"1,199","1,533","1,442","1,710","1,494",911,905,"1,248",0,0,0,3,806,0,15,19,31,1,22,116,12,86,1,29,251,3,64,117,238,42,"1,366",0,26,52,38,9,33,7,3,5,195,40,14,384,3,333,9,120,87,785,"1,459","1,430","2,121","1,118",2,915,410,180,16,16,4,1,10,40,14,18,30,14,140,44,10,15,2,398,5,31,73,13,27,15,5,45,"1,444",100,"2,124","1,575",20,0,32,1,111,3,147,8,41,12,65,37,19,87,10,11,15,3,14,5,101,5,5,64,36,154,146,19,699,25,251,57,364,5,10,"1,322",37,"1,139",315,10,5,208,9,13,1,81,20,5,11,2,10,751,878,17,15,33,28,7,1,3,13,0,2,4,5,4,7,682,226,16,3,144,10,0,23,116,19,29,7,6,22,12,2,103,5,8,26,12,49,19,52,3,9,12,237,4,15,"1,386",6,3,33,16,8,13,861,3,20,26,3,"1,701",57,20
