County,Per Capita Personal Income 2012,Per Capita Personal Income 2013,Per Capita Personal Income 2014,State Rank 2014,Percent Change 2013,Percent Change 2014,Percent Rank 2014
Utah,35995,36542,37664,,1.5,3.1,
Beaver,30332,35436,36622,10,16.8,3.3,14
Box Elder,30185,31084,32208,18,3,3.6,10
Cache,29376,29341,30428,21,-0.1,3.7,9
Carbon,32324,32726,33837,14,1.2,3.4,13
Daggett,46520,49335,50523,2,6.1,2.4,24
Davis,37559,37702,38770,8,0.4,2.8,22
Duchesne,38370,37768,39574,6,-1.6,4.8,5
Emery,28776,29608,30676,20,2.9,3.6,11
Garfield,30147,31637,32829,15,4.9,3.8,8
Grand,37645,39809,40844,5,5.7,2.6,23
Iron,24737,25583,26774,26,3.4,4.7,6
Juab,27225,28589,29871,23,5,4.5,7
Kane,32849,33024,34943,11,0.5,5.8,3
Millard,29459,32030,32608,16,8.699999999999999,1.8,28
Morgan,41160,42187,43111,3,2.5,2.2,26
Piute,23014,24142,25456,28,4.9,5.4,4
Rich,31111,36281,39190,7,16.600000000000001,8,2
Salt Lake,40623,41269,42535,4,1.6,3.1,18
San Juan,21875,24021,23244,29,9.800000000000001,-3.2,29
Sanpete,24045,24677,25458,27,2.6,3.2,16
Sevier,27974,28807,29793,24,3,3.4,12
Summit,91982,94077,96766,1,2.3,2.9,21
Tooele,30555,30507,31398,19,-0.2,2.9,20
Uintah,34843,34011,34629,13,-2.4,1.8,27
Utah,30875,31272,32274,17,1.3,3.2,15
Wasatch,36362,37745,38624,9,3.8,2.3,25
Washington,28076,28809,29659,25,2.6,3,19
Wayne,26696,27777,30208,22,4,8.800000000000001,1
Weber,33335,33873,34938,12,1.6,3.1,17
