People QuickFacts,"Population, 2013 estimate    ","Population, 2010 (April 1) estimates base    ","Population, percent change, April 1, 2010 to July 1, 2013    ","Population, 2010    ","Persons under 5 years, percent, 2013    ","Persons under 18 years, percent, 2013    ","Persons 65 years and over, percent, 2013    ","Female persons, percent, 2013    ","White alone, percent, 2013 (a)    ","Black or African American alone, percent, 2013 (a)    ","American Indian and Alaska Native alone, percent, 2013 (a)    ","Asian alone, percent, 2013 (a)    ","Native Hawaiian and Other Pacific Islander alone, percent, 2013 (a)    ","Two or More Races, percent, 2013    ","Hispanic or Latino, percent, 2013 (b)    ","White alone, not Hispanic or Latino, percent, 2013    ","Living in same house 1 year & over, percent, 2009-2013    ","Foreign born persons, percent, 2009-2013    ","Language other than English spoken at home, pct age 5+, 2009-2013    ","High school graduate or higher, percent of persons age 25+, 2009-2013    ","Bachelor's degree or higher, percent of persons age 25+, 2009-2013    ","Veterans, 2009-2013    ","Mean travel time to work (minutes), workers age 16+, 2009-2013    ","Housing units, 2013    ","Homeownership rate, 2009-2013    ","Housing units in multi-unit structures, percent, 2009-2013    ","Median value of owner-occupied housing units, 2009-2013    ","Households, 2009-2013    ","Persons per household, 2009-2013    ","Per capita money income in past 12 months (2013 dollars), 2009-2013    ","Median household income, 2009-2013    ","Persons below poverty level, percent, 2009-2013    ","Private nonfarm establishments, 2012    ","Private nonfarm employment, 2012    ","Private nonfarm employment, percent change, 2011-2012    ","Nonemployer establishments, 2012    ","Total number of firms, 2007    ","Black-owned firms, percent, 2007    ","American Indian- and Alaska Native-owned firms, percent, 2007    ","Asian-owned firms, percent, 2007    ","Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ","Hispanic-owned firms, percent, 2007    ","Women-owned firms, percent, 2007    ","Manufacturers shipments, 2007 ($1000)    ","Merchant wholesaler sales, 2007 ($1000)    ","Retail sales, 2007 ($1000)    ","Retail sales per capita, 2007    ","Accommodation and food services sales, 2007 ($1000)    ","Building permits, 2012    ","Land area in square miles, 2010    ","Persons per square mile, 2010    ",FIPS Code    
Beaver County,6459,6629,-2.6,6629,8.5,32.5,13.3,48.3,94.7,0.4,1.8,1.3,0.4,1.5,10.4,86,87.3,6.8,6.5,90.9,17,383,16.9,2918,77.7,8.6,144800.00,2112,2.98,19415.00,46660.00,14.1,161,1496,9.1,479,710,F,F,F,F,F,S,0,0,89663,14776.00,12753,6,2589.88,2.6,1
Box Elder County,50794,49975,1.6,49975,8.8,32.9,12.1,49.2,95.4,0.5,1.2,0.9,0.2,1.8,9,87.5,88.1,3.1,7.2,91.7,21.2,2724,22.6,17901,79.3,11.8,166100.00,16207,3.07,21720.00,57292.00,8.8,1002,15484,1.4,2984,3818,F,F,1.4%,F,1.4%,20.7%,3150909,D,447418,9348.00,36827,219,5745.55,8.7,3
Cache County,116909,112656,3.8,112656,9.4,31.2,8.3,50.2,93.7,0.8,0.9,2.3,0.5,1.7,10.2,84.8,78.3,6.9,13.8,92.5,36.9,4258,16.6,38725,64.5,23.2,189100.00,35375,3.12,20074.00,49506.00,16.6,3033,38514,5.8,7849,10332,F,S,1.0%,F,2.6%,22.2%,,"361,610",1095090,10079.00,95153,804,1164.81,96.7,5
Carbon County,20988,21403,-1.9,21403,7.9,27.1,14.6,50.4,95.1,0.7,1.4,0.9,0.2,1.7,12.9,83.4,83.8,2.9,7.2,86,12.6,1316,15.9,9548,69.5,12.1,122700.00,7764,2.64,20155.00,44724.00,15.1,507,6547,-7.1,1091,1549,F,F,S,F,S,S,0,D,298872,15197.00,26154,46,1478.49,14.5,7
Daggett County,1127,1061,6.2,1059,4.7,23.6,20.1,44.6,96,0.4,1.4,0.5,0.1,1.6,4.3,93,85.1,1.8,1.8,86,18.8,108,15,1146,74.1,1.8,162500.00,305,2.37,22811.00,46917.00,8.6,23,0,,65,,S,S,S,S,S,S,0,0,,,6358,6,696.98,1.5,9
Davis County,322094,306479,5.1,306479,9.2,33.6,9,49.7,92.9,1.4,0.7,2,0.7,2.4,8.8,85.1,86.1,4.7,8.8,95.4,34.1,20019,22.3,101407,77.7,15.7,222600.00,95238,3.25,26035.00,69707.00,7.9,6350,75424,5.7,20927,25119,0.4%,0.2%,1.4%,0.4%,2.7%,25.4%,4985245,D,3217656,11177.00,274255,2020,298.78,1025.8,11
Duchesne County,20308,18607,9.1,18607,10.4,34.3,10.8,49.2,91.6,0.6,4.6,0.4,0.4,2.4,7.7,85.5,86.3,3,6.9,86.4,16,931,22.5,9627,75.9,6.8,168000.00,6850,2.74,23411.00,57683.00,8.9,691,6974,12.8,1411,1930,F,2.1%,F,F,F,S,0,"54,748",215996,13340.00,13557,133,3240.95,5.7,13
Emery County,10749,10976,-2.1,10976,8,31.4,14,49.1,97.1,0.4,1,0.5,0.1,0.9,6.3,91.4,87.4,2.1,5.8,89.8,12.5,546,19.1,4481,81.6,5.8,122500.00,3598,3.01,20137.00,52763.00,10,197,2649,-3.5,615,552,F,F,F,F,F,S,0,983,128628,12435.00,10750,21,4462.31,2.5,15
Garfield County,5083,5172,-1.7,5172,6.1,25.6,18.6,47.9,94.9,0.5,2.3,0.8,0.2,1.3,5.4,90.5,89.1,3.2,6.8,92,20.1,449,13.3,3768,78.3,5.3,154300.00,1890,2.62,21989.00,45357.00,11.5,141,1182,4.4,452,566,F,F,F,F,F,S,0,D,22916,5094.00,49289,33,5175.12,1,17
Grand County,9360,9225,1.5,9225,6.8,22.6,15.4,49.9,91.9,0.7,4.3,1,0.1,2,9.8,83.5,85.2,4.7,7.6,91,25.2,618,14.5,5035,68,15.2,218800.00,3633,2.51,23558.00,45888.00,13.7,432,3565,0.5,983,1261,F,F,2.9%,F,F,24.4%,0,"19,672",159918,16973.00,68229,79,3671.54,2.5,19
