ZCTA5,Total:,"    Less than $10,000","    $10,000 to $14,999","    $15,000 to $19,999","    $20,000 to $24,999","    $25,000 to $29,999","    $30,000 to $34,999","    $35,000 to $39,999","    $40,000 to $44,999","    $45,000 to $49,999","    $50,000 to $59,999","    $60,000 to $74,999","    $75,000 to $99,999","    $100,000 to $124,999","    $125,000 to $149,999","    $150,000 to $199,999","    $200,000 or more"
81324,767,7,50,49,17,14,78,46,16,4,48,102,23,210,40,53,10
82930,"5,629",283,179,142,288,240,313,103,275,183,351,665,"1,188",837,295,173,114
83342,436,0,6,57,47,5,26,54,33,23,49,17,37,72,0,0,10
84001,199,4,8,3,4,9,10,1,2,19,15,17,57,26,6,11,7
84002,105,0,12,1,14,0,6,6,7,0,0,11,14,0,13,0,21
84003,"14,430",283,120,191,342,172,419,396,568,468,"1,022","1,201","1,915","1,668","1,346","1,980","2,339"
84004,"2,780",193,23,20,30,57,154,46,40,27,78,110,289,248,171,505,789
84005,"9,731",187,37,85,35,45,191,151,360,219,661,"1,317","2,455","1,798",790,611,789
84006,336,1,0,0,2,11,27,0,13,29,56,68,26,79,7,7,10
84007,139,0,0,0,26,0,8,0,0,4,0,7,49,27,0,5,13
84008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84009,"10,682",148,95,36,83,136,199,86,111,123,369,"1,072","1,688","1,893","1,397","1,485","1,761"
84010,"15,337",466,336,341,216,424,414,573,585,513,979,"1,747","1,943","1,987","1,641","1,303","1,869"
84013,211,0,0,5,0,1,0,5,6,1,5,13,71,52,18,11,23
84014,"5,688",74,130,161,71,111,157,65,73,187,300,557,726,857,786,689,744
84015,"21,039",461,590,687,445,601,724,296,812,817,"1,813","2,459","3,762","3,011","2,158","1,360","1,043"
84017,"1,487",21,0,10,71,103,41,98,39,55,101,163,285,145,130,125,100
84018,74,0,0,0,0,0,18,0,0,0,21,0,0,0,0,35,0
84020,"14,910",321,215,206,179,165,222,183,234,609,715,"1,277","1,692","1,915","1,297","2,097","3,583"
84021,"1,157",55,47,77,36,43,44,69,50,49,123,127,129,136,78,42,52
84022,224,0,0,0,20,3,0,0,0,26,15,16,61,14,29,30,10
84023,59,6,0,0,0,5,15,0,12,0,0,0,6,12,0,3,0
84024,14,3,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0
84025,"6,758",140,90,99,53,210,168,150,414,69,232,347,957,"1,266",812,879,872
84026,277,82,15,8,13,26,14,16,8,0,26,15,39,0,0,0,15
84027,221,6,0,22,1,31,27,7,16,6,0,8,49,19,0,8,21
84028,121,0,3,7,0,7,26,3,0,17,11,29,5,7,4,0,2
84029,"3,528",68,50,71,30,172,85,161,52,52,397,440,499,453,365,315,318
84031,71,0,0,0,0,7,0,0,1,0,0,14,12,14,0,12,11
84032,"7,204",111,203,224,221,123,203,124,314,368,571,727,972,912,636,809,686
84033,335,11,0,0,29,2,5,6,10,0,22,39,78,61,28,34,10
84034,49,0,8,10,0,1,2,1,2,0,2,8,7,1,3,1,3
84035,256,76,0,41,0,0,0,0,19,67,26,0,0,27,0,0,0
84036,"2,590",60,30,33,98,34,118,99,88,38,202,266,342,250,233,204,495
84037,"10,945",147,171,194,192,149,300,44,181,163,491,891,"1,745","1,487","1,118","1,597","2,075"
84038,183,8,1,3,5,10,0,4,2,8,3,31,42,46,2,4,14
84039,191,31,21,0,0,0,0,4,0,0,50,5,48,6,4,9,13
84040,"8,424",91,90,106,155,121,197,87,179,176,585,660,"1,390","1,230",923,"1,187","1,247"
84041,"17,664",520,391,580,594,423,392,514,528,813,"1,720","2,096","3,193","1,981","1,202","1,791",926
84042,"3,000",19,18,31,82,82,104,50,56,103,189,401,357,261,400,425,422
84043,"19,629",341,131,259,180,468,221,385,375,521,904,"1,854","3,007","2,963","2,533","3,027","2,460"
84044,"8,906",241,117,269,161,285,233,387,582,273,768,"1,417","1,396","1,205",984,418,170
84045,"8,721",212,73,70,46,104,64,166,323,123,486,681,"1,480","1,729","1,210","1,227",727
84046,138,13,1,0,5,5,20,8,0,9,13,9,16,22,3,14,0
84047,"15,321",714,583,395,577,442,663,720,865,681,"1,095","2,606","2,183","1,482",839,876,600
84049,"2,238",75,0,38,26,28,108,16,42,38,195,221,259,172,284,241,495
84050,"3,430",74,14,6,31,23,46,52,152,80,215,276,459,522,470,457,553
84051,158,3,0,0,0,0,0,0,7,7,13,6,25,14,54,29,0
84052,383,16,26,21,11,21,29,8,3,13,35,62,71,22,8,28,9
84053,207,0,0,0,10,33,15,6,9,0,10,21,40,18,14,19,12
84054,"7,206",188,67,29,183,301,248,247,222,508,410,800,908,977,727,645,746
84055,435,17,0,3,18,18,2,0,12,10,12,44,98,68,57,35,41
84056,998,15,0,12,20,40,25,35,74,58,152,181,152,72,118,28,16
84057,"11,920",417,205,245,499,671,526,513,566,664,973,"1,413","1,854","1,057",942,722,653
84058,"10,263",430,240,402,360,568,513,241,601,321,908,"1,409","1,312","1,016",650,703,589
84059,"4,377",54,29,105,54,51,147,143,276,104,393,371,921,451,376,457,445
84060,"3,029",188,92,23,54,9,63,78,63,62,97,209,396,247,187,293,968
84061,159,8,0,26,0,0,0,7,0,0,0,23,13,39,17,17,9
84062,"13,789",352,193,210,304,367,511,625,415,444,855,"1,449","2,260","1,945","1,000","1,343","1,516"
84063,97,5,0,0,41,6,0,25,0,0,0,0,0,5,0,5,10
84064,193,2,18,0,6,31,1,2,4,13,12,7,67,18,0,8,4
84065,"14,448",232,32,167,163,159,225,474,262,417,638,"1,655","1,923","1,880","1,738","2,322","2,161"
84066,"4,176",274,172,153,146,159,144,201,254,125,247,537,695,398,225,268,178
84067,"12,912",347,159,60,407,359,600,284,450,569,"1,116","1,904","2,637","1,989","1,048",550,433
84069,178,4,3,3,2,5,0,21,3,2,10,32,27,35,14,12,5
84070,"10,741",449,178,339,427,380,569,179,292,580,794,"1,275","1,563","1,391",717,960,648
84071,612,15,5,5,3,6,22,2,2,39,48,26,66,129,74,111,59
84072,156,0,3,4,6,3,14,15,21,1,23,18,22,22,2,0,2
84073,104,0,7,9,3,0,0,0,1,14,21,7,21,0,14,3,4
84074,"16,301",351,456,236,262,465,573,434,542,458,"1,167","1,708","2,522","2,703","2,053","1,553",818
84075,"8,480",64,82,66,51,105,116,145,201,41,401,460,"1,743","1,297","1,229","1,268","1,211"
84076,92,0,0,0,7,0,6,0,0,0,9,0,21,9,8,22,10
84078,"9,369",321,252,512,226,516,417,417,460,481,847,783,"1,439","1,205",706,394,393
84080,98,13,0,4,0,0,11,6,5,16,5,8,13,5,7,0,5
84081,"14,098",99,62,170,105,180,278,296,451,226,667,"1,355","2,977","2,362","1,803","2,040","1,027"
84082,280,2,0,0,0,5,2,0,2,18,9,9,23,52,112,30,16
84083,386,26,21,10,11,18,6,94,17,27,37,45,39,19,5,0,11
84084,"10,516",322,167,251,153,553,380,516,472,370,499,"1,084","2,003","1,326","1,062",914,444
84085,92,0,14,0,0,0,13,0,0,14,0,14,29,8,0,0,0
84086,164,5,0,4,11,26,0,7,0,3,26,14,9,2,21,28,8
84087,"4,861",118,21,73,52,131,90,135,13,233,203,579,663,901,501,759,389
84088,"12,432",313,279,279,114,402,272,388,284,500,882,"1,356","2,194","1,699","1,224","1,470",776
84092,"9,087",208,80,29,74,93,320,104,106,173,410,563,"1,041","1,133",704,"1,366","2,683"
84093,"7,720",124,90,227,95,231,104,155,66,189,354,505,"1,157",961,759,"1,360","1,343"
84094,"9,366",274,81,144,212,169,218,171,214,133,711,961,"1,692","1,450","1,134","1,105",697
84095,"12,578",268,111,245,403,254,138,259,163,114,501,"1,219","2,071","1,395","1,539","1,627","2,271"
84096,"18,672",360,163,158,135,462,313,321,924,516,808,"2,164","2,289","2,968","2,128","3,312","1,651"
84097,"6,703",130,201,234,205,144,195,223,256,175,436,772,853,855,566,570,888
84098,"6,304",186,19,49,61,137,128,81,81,168,175,356,545,464,604,908,"2,342"
84101,"3,888",319,473,210,97,172,222,210,100,141,242,404,361,274,205,196,262
84102,"9,818","1,217",563,434,532,546,570,346,489,467,830,"1,053",946,501,409,442,473
84103,"11,720",309,618,338,313,583,514,376,291,422,823,"1,334","1,123",915,738,935,"2,088"
84104,"7,713",369,302,321,172,411,556,397,607,363,753,811,"1,089",731,377,355,99
84105,"9,775",294,220,153,228,260,312,178,270,363,614,"1,125","1,703",870,733,"1,054","1,398"
84106,"14,994",818,644,414,344,443,417,598,276,421,962,"1,701","2,285","1,735","1,455","1,324","1,157"
84107,"15,655",845,541,474,747,802,630,908,808,685,"1,168","1,741","2,382","1,364",764,995,801
84108,"7,549",326,132,32,167,142,182,131,191,165,522,520,"1,003",717,423,756,"2,140"
84109,"9,011",143,110,219,132,90,184,136,131,205,618,609,"1,298","1,178","1,112","1,197","1,649"
84111,"6,854",737,724,322,423,273,231,225,378,204,464,510,677,778,342,293,273
84112,236,63,37,0,65,7,0,5,0,0,9,27,20,0,0,0,3
84113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84115,"11,684",720,894,739,644,371,505,969,624,520,895,"1,331","1,389",595,592,363,533
84116,"12,109",849,478,472,336,532,847,450,553,397,"1,556","1,443","1,759","1,005",749,418,265
84117,"10,306",472,65,542,266,317,389,482,518,496,555,"1,236","1,256",572,570,812,"1,758"
84118,"11,518",192,174,386,255,348,343,329,611,563,869,"1,609","2,266","1,017","1,321",914,321
84119,"15,966",540,728,540,537,668,"1,123",695,822,652,"1,856","1,863","2,336","1,567",928,725,386
84120,"13,829",223,210,389,386,349,580,500,667,313,"1,356","1,738","2,453","1,904","1,149",950,662
84121,"15,503",510,382,290,233,310,264,291,602,288,898,"1,674","1,929","1,779","1,759","1,748","2,546"
84123,"13,798",382,289,274,305,672,678,602,903,680,"1,244","1,490","2,292","1,632",861,"1,054",440
84124,"8,361",213,155,171,136,153,217,324,252,249,524,759,848,"1,038",716,896,"1,710"
84128,"8,429",75,130,26,144,242,250,189,150,331,637,814,"1,863","1,482","1,029",660,407
84129,"11,854",359,299,225,399,246,256,293,456,513,923,"1,520","2,048","1,670",931,977,739
84138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84301,262,11,7,7,3,6,4,23,3,15,43,28,44,27,19,11,11
84302,"8,578",585,257,166,373,276,245,382,478,335,680,957,"1,389","1,160",482,536,277
84304,29,0,0,16,0,0,0,0,0,13,0,0,0,0,0,0,0
84305,265,3,40,3,14,7,8,18,13,17,17,36,39,29,10,8,3
84306,124,18,0,0,0,0,0,0,0,0,0,16,34,25,11,0,20
84307,367,1,0,8,17,7,8,22,13,19,56,60,63,58,16,8,11
84308,93,0,0,1,0,6,10,1,3,1,26,6,5,10,2,4,18
84309,144,2,4,2,2,0,3,8,6,4,22,0,30,16,10,20,15
84310,"1,735",97,0,0,0,28,45,0,31,66,100,17,200,281,265,298,307
84311,227,6,12,33,3,4,6,9,22,6,17,11,58,12,15,2,11
84312,"1,579",84,89,28,53,34,52,88,75,29,148,196,233,199,169,80,22
84313,13,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0
84314,348,3,14,14,3,18,24,19,6,7,18,30,49,30,31,25,57
84315,"2,801",17,56,20,0,49,79,184,73,14,143,150,622,528,409,253,204
84316,101,5,1,0,1,5,2,5,0,1,5,20,34,4,17,0,1
84317,"1,036",0,61,13,19,3,21,18,21,33,48,160,163,188,59,152,77
84318,"1,435",13,66,90,69,26,35,14,31,36,147,134,234,129,154,129,128
84319,"2,758",40,88,50,37,125,87,61,260,96,244,279,538,392,250,118,93
84320,765,4,5,13,28,20,23,18,74,87,63,101,106,113,37,42,31
84321,"15,261",653,874,466,610,"1,101","1,232",845,790,737,"1,102","1,608","2,239","1,334",674,560,436
84322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84324,297,10,4,12,0,4,3,7,2,4,11,34,41,58,44,35,28
84325,663,4,14,7,1,12,43,35,18,22,37,64,66,91,51,86,112
84326,715,7,2,12,33,34,3,3,24,24,62,174,87,58,66,16,110
84327,247,6,2,4,8,2,4,9,16,3,40,53,32,11,29,16,12
84328,468,12,4,7,14,17,25,11,28,12,17,58,94,56,24,38,51
84329,44,13,0,0,0,0,0,0,0,13,0,0,0,0,11,0,7
