ZCTA5,Median value (dollars)
81324,"144,400"
82930,"186,900"
83342,"190,700"
84001,"192,700"
84002,"209,100"
84003,"423,100"
84004,"698,900"
84005,"356,800"
84006,"274,600"
84007,"230,000"
84008,-
84009,"424,600"
84010,"373,000"
84013,"349,200"
84014,"374,800"
84015,"276,000"
84017,"340,900"
84018,"380,000"
84020,"569,700"
84021,"173,900"
84022,-
84023,"295,800"
84024,-
84025,"432,800"
84026,"135,700"
84027,"192,500"
84028,"275,000"
84029,"301,500"
84031,-
84032,"449,000"
84033,"310,000"
84034,"77,000"
84035,"150,600"
84036,"487,800"
84037,"429,400"
84038,"342,500"
84039,"173,900"
84040,"360,200"
84041,"292,700"
84042,"478,800"
84043,"415,900"
84044,"252,900"
84045,"402,100"
84046,"176,900"
84047,"297,400"
84049,"608,200"
84050,"457,500"
84051,"205,800"
84052,"158,400"
84053,"170,600"
84054,"363,500"
84055,"428,400"
84056,-
84057,"300,400"
84058,"324,900"
84059,"399,100"
84060,"1,502,700"
84061,"602,300"
84062,"365,300"
84063,"233,000"
84064,"150,000"
84065,"445,800"
84066,"197,800"
84067,"252,100"
84069,"265,200"
84070,"330,600"
84071,"341,700"
84072,"260,900"
84073,"188,100"
84074,"261,200"
84075,"375,900"
84076,-
84078,"219,800"
84080,"187,500"
84081,"371,900"
84082,"438,400"
84083,"136,700"
84084,"304,500"
84085,"151,000"
84086,"151,300"
84087,"359,500"
84088,"341,300"
84092,"542,300"
84093,"479,700"
84094,"358,800"
84095,"511,500"
84096,"420,400"
84097,"381,800"
84098,"855,200"
84101,"417,700"
84102,"384,000"
84103,"580,500"
84104,"230,700"
84105,"471,100"
84106,"392,300"
84107,"311,000"
84108,"630,200"
84109,"502,200"
84111,"336,700"
84112,-
84113,-
84114,-
84115,"290,500"
84116,"246,600"
84117,"432,700"
84118,"248,100"
84119,"239,600"
84120,"273,900"
84121,"441,900"
84123,"314,700"
84124,"545,800"
84128,"282,500"
84129,"289,900"
84138,-
84150,-
84180,-
84301,"252,500"
84302,"248,300"
84304,-
84305,"215,400"
84306,"389,900"
84307,"245,500"
84308,"244,200"
84309,"291,700"
84310,"589,000"
84311,"244,900"
84312,"247,300"
84313,-
84314,"276,400"
84315,"367,600"
84316,"158,900"
84317,"450,000"
84318,"338,500"
84319,"261,700"
84320,"241,500"
84321,"260,200"
84322,-
84324,"395,600"
84325,"368,300"
84326,"328,900"
84327,"259,300"
84328,"404,300"
84329,-
84330,"228,300"
84331,"221,900"
84332,"356,900"
84333,"262,700"
84334,"250,000"
84335,"276,500"
84336,"170,400"
84337,"232,900"
84338,"241,000"
84339,"296,300"
84340,"295,500"
84341,"299,900"
84401,"281,500"
84403,"287,900"
84404,"244,800"
84405,"287,800"
84408,-
84414,"345,200"
84501,"166,200"
84511,"208,200"
84512,"74,000"
84513,"143,800"
84515,-
84516,"168,800"
84518,"189,200"
84520,"67,200"
84521,"149,500"
84522,"93,300"
84523,"168,400"
84525,"104,600"
84526,"163,100"
84528,"145,400"
84529,"178,100"
84530,-
84531,"29,700"
84532,"337,100"
84533,-
84534,"58,900"
84535,"213,800"
84536,"35,000"
84537,"156,000"
84539,"39,100"
84540,-
84542,"132,300"
84601,"275,300"
84602,-
84604,"391,700"
84606,"308,200"
84620,"171,200"
84621,-
84622,"233,500"
84623,-
84624,"202,100"
84626,"319,700"
84627,"295,000"
84628,"150,500"
84629,"259,600"
84630,"175,000"
84631,"188,600"
84632,"210,000"
84633,"225,000"
84634,"216,000"
84635,"97,100"
84636,"166,800"
84637,"188,600"
84638,"200,700"
84639,"221,500"
84640,"207,700"
84642,"189,400"
84643,"285,400"
84644,"196,900"
84645,"313,000"
84646,"177,300"
84647,"215,100"
84648,"300,100"
84649,"167,200"
84651,"313,900"
84652,"171,700"
84653,"421,000"
84654,"174,500"
84655,"323,800"
84656,"185,600"
84657,"203,800"
84660,"341,000"
84662,"232,400"
84663,"323,000"
84664,"502,200"
84665,"246,300"
84667,"244,200"
84701,"209,200"
84710,"280,000"
84711,"225,000"
84712,"225,000"
84713,"247,200"
84714,"217,300"
84715,"194,200"
84716,"196,400"
84718,"173,800"
84719,-
84720,"276,000"
84721,"241,600"
84722,"294,200"
84723,"221,500"
84724,"150,000"
84725,"251,100"
84726,"184,400"
84728,-
84729,"151,100"
84730,"253,800"
84731,-
84732,"281,300"
84733,-
84734,"114,300"
84735,"400,000"
84736,"124,200"
84737,"295,100"
84738,"367,200"
84739,"173,100"
84740,"145,000"
84741,"244,700"
84742,"255,000"
84743,"216,700"
84744,"155,200"
84745,"239,000"
84746,"367,500"
84747,"260,000"
84749,"300,000"
84750,"213,000"
84751,"156,400"
84752,"201,300"
84753,-
84754,"215,700"
84755,"333,300"
84756,-
84757,"471,300"
84758,"198,100"
84759,"215,500"
84760,"218,100"
84761,"182,500"
84762,-
84763,"380,400"
84764,-
84765,"382,900"
84766,"178,200"
84767,"694,000"
84770,"312,000"
84772,"292,900"
84773,"169,400"
84774,"352,200"
84775,-
84776,"185,100"
84779,"371,300"
84780,"370,700"
84781,"424,600"
84782,"312,200"
84783,"449,200"
84784,"340,600"
84790,"373,200"
86044,"44,300"
86514,"48,000"
