ZCTA5,Total:,    Hispanic or Latino,    Not Hispanic or Latino:,            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone,            Some Other Race alone,            Population of two races:,            Population of three races:,            Population of four races:,            Population of five races:,            Population of six races:
81324,"1,602",115,"1,487","1,348",18,23,2,4,6,83,3,0,0,0
82930,"13,894","1,754","12,140","11,355",46,94,84,19,60,468,13,0,1,0
83342,"1,169",184,985,959,1,1,1,0,0,21,2,0,0,0
84001,719,28,691,664,0,7,1,0,0,18,0,0,1,0
84002,280,15,265,257,1,5,0,0,0,2,0,0,0,0
84003,"52,970","4,086","48,884","45,270",249,162,727,382,174,"1,744",167,9,0,0
84004,"10,259",392,"9,867","9,321",41,12,94,24,25,328,21,1,0,0
84005,"43,113","4,952","38,161","34,872",287,109,339,419,180,"1,801",144,10,0,0
84006,829,71,758,683,3,10,1,12,6,42,1,0,0,0
84007,530,5,525,516,0,1,0,0,0,7,1,0,0,0
84008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84009,"38,347","3,994","34,353","29,916",376,75,"1,658",463,154,"1,589",121,0,1,0
84010,"48,439","3,864","44,575","40,616",380,168,767,711,188,"1,631",104,10,0,0
84013,"1,090",66,"1,024",949,2,6,0,6,2,53,6,0,0,0
84014,"16,870","1,060","15,810","14,761",96,27,261,112,58,464,30,1,0,0
84015,"68,548","10,396","58,152","51,304","1,025",390,"1,529",614,251,"2,809",213,17,0,0
84017,"4,076",516,"3,560","3,420",7,3,21,3,5,98,2,1,0,0
84018,236,14,222,211,0,0,0,0,0,11,0,0,0,0
84020,"51,017","4,728","46,289","40,534",654,270,"2,281",228,217,"2,007",94,4,0,0
84021,"3,198",180,"3,018","2,877",5,58,5,7,9,56,1,0,0,0
84022,423,50,373,299,16,8,15,5,2,25,2,0,1,0
84023,228,8,220,211,0,0,1,0,1,4,1,1,1,0
84024,61,13,48,45,0,0,2,0,0,1,0,0,0,0
84025,"24,596","1,344","23,252","21,774",167,58,350,72,47,738,41,5,0,0
84026,910,38,872,249,1,580,1,0,0,39,1,0,1,0
84027,604,41,563,539,1,3,1,1,1,17,0,0,0,0
84028,955,53,902,860,4,1,2,0,0,29,6,0,0,0
84029,"13,269","1,015","12,254","11,646",38,88,48,33,33,360,8,0,0,0
84031,278,11,267,261,0,0,0,0,0,5,1,0,0,0
84032,"24,766","4,069","20,697","19,477",99,52,284,36,38,672,29,10,0,0
84033,"1,150",74,"1,076","1,047",0,0,3,4,0,22,0,0,0,0
84034,181,10,171,64,0,95,2,0,3,4,3,0,0,0
84035,722,41,681,638,1,9,0,0,1,32,0,0,0,0
84036,"8,300","1,174","7,126","6,834",32,15,40,7,12,184,0,2,0,0
84037,"39,763","2,276","37,487","35,482",198,95,411,136,97,984,71,12,1,0
84038,439,13,426,417,0,0,0,0,0,8,0,1,0,0
84039,"1,065",62,"1,003",832,8,110,0,1,4,44,3,1,0,0
84040,"26,687","2,499","24,188","21,780",333,95,579,116,138,"1,050",88,9,0,0
84041,"55,289","8,855","46,434","41,085",793,326,"1,221",410,207,"2,190",172,30,0,0
84042,"11,330","1,003","10,327","9,576",44,22,158,91,22,386,27,1,0,0
84043,"76,954","6,698","70,256","63,535",411,236,"1,917",673,256,"2,947",264,16,1,0
84044,"29,284","10,069","19,215","16,441",403,171,338,781,115,915,45,6,0,0
84045,"36,898","3,512","33,386","30,431",272,98,426,357,171,"1,493",134,4,0,0
84046,698,20,678,662,1,0,0,2,1,11,0,1,0,0
84047,"37,146","8,507","28,639","23,287",979,293,"1,587",546,238,"1,606",93,10,0,0
84049,"6,655",372,"6,283","6,049",15,13,37,5,19,133,12,0,0,0
84050,"12,059",324,"11,735","11,351",12,31,57,0,9,242,25,8,0,0
84051,390,8,382,380,0,0,0,1,0,1,0,0,0,0
84052,"1,257",111,"1,146",996,0,101,3,1,4,41,0,0,0,0
84053,850,29,821,709,3,71,1,0,1,35,1,0,0,0
84054,"21,552","3,653","17,899","15,158",277,145,747,572,67,893,39,1,0,0
84055,"1,473",134,"1,339","1,296",1,3,6,1,2,29,0,1,0,0
84056,"4,088",699,"3,389","2,614",246,11,83,40,9,347,33,3,3,0
84057,"38,401","9,623","28,778","25,275",255,230,717,540,201,"1,399",145,15,1,0
84058,"33,734","6,906","26,828","23,319",459,162,749,517,162,"1,349",103,8,0,0
84059,"15,567","2,428","13,139","11,301",116,106,378,318,80,733,102,3,2,0
84060,"8,621","1,631","6,990","6,381",53,12,237,7,38,240,17,2,3,0
84061,514,53,461,440,0,1,1,1,0,18,0,0,0,0
84062,"47,771","5,143","42,628","39,294",236,123,572,364,186,"1,731",117,5,0,0
84063,477,45,432,212,2,198,5,0,0,13,0,0,2,0
84064,744,29,715,690,5,0,0,4,1,14,1,0,0,0
84065,"49,295","3,689","45,606","41,893",282,148,"1,109",346,200,"1,564",58,5,1,0
84066,"13,287","1,009","12,278","10,497",14,"1,184",61,31,46,413,28,1,3,0
84067,"39,194","6,838","32,356","28,956",419,216,738,194,134,"1,595",103,1,0,0
84069,492,14,478,457,0,0,1,0,0,20,0,0,0,0
84070,"30,885","5,734","25,151","21,241",403,204,"1,514",312,173,"1,224",75,4,1,0
84071,"1,946",138,"1,808","1,705",9,3,2,4,16,67,2,0,0,0
84072,402,4,398,388,0,1,0,2,2,5,0,0,0,0
84073,211,6,205,187,1,12,0,0,0,5,0,0,0,0
84074,"55,001","7,452","47,549","43,494",364,302,441,592,226,"2,042",80,4,4,0
84075,"32,274","2,785","29,489","27,009",332,73,625,149,115,"1,097",85,4,0,0
84076,383,9,374,365,0,3,0,0,0,6,0,0,0,0
84078,"29,172","2,459","26,713","24,745",74,520,138,92,95,"1,005",34,10,0,0
84080,328,48,280,252,0,1,0,1,0,26,0,0,0,0
84081,"51,426","11,584","39,842","33,952",724,239,"1,644","1,111",219,"1,817",122,12,2,0
84082,832,12,820,811,2,0,3,0,1,3,0,0,0,0
84083,"1,115",797,318,273,9,8,4,2,2,18,2,0,0,0
84084,"32,568","7,611","24,957","21,230",368,227,"1,013",754,160,"1,157",46,2,0,0
84085,419,9,410,113,0,276,0,0,0,17,4,0,0,0
84086,359,2,357,352,2,0,0,0,0,3,0,0,0,0
84087,"16,217","1,343","14,874","13,499",93,59,246,256,52,634,35,0,0,0
84088,"37,856","8,046","29,810","25,776",357,139,"1,238",667,170,"1,365",88,10,0,0
84092,"29,492","1,684","27,808","25,270",221,63,977,94,108,"1,026",46,3,0,0
84093,"23,609","1,386","22,223","20,079",146,45,856,114,83,835,57,7,1,0
84094,"28,751","2,932","25,819","22,741",190,128,"1,047",236,144,"1,265",65,2,1,0
84095,"39,278","3,018","36,260","31,619",299,112,"2,395",371,202,"1,204",53,4,1,0
84096,"69,086","8,514","60,572","54,297",626,224,"1,659",764,277,"2,543",178,2,2,0
84097,"23,038","2,841","20,197","18,189",140,68,425,289,87,892,102,5,0,0
84098,"20,573","1,729","18,844","17,363",95,33,436,19,104,769,21,4,0,0
84101,"8,140","1,278","6,862","5,236",312,123,586,122,92,373,16,2,0,0
84102,"18,857","1,920","16,937","13,676",369,154,"1,616",111,118,853,34,6,0,0
84103,"22,788","1,966","20,822","17,971",360,88,974,145,148,"1,093",37,6,0,0
84104,"23,487","11,289","12,198","7,234",910,257,"1,228","1,742",108,670,46,2,1,0
84105,"22,856","1,822","21,034","18,698",234,86,695,93,116,"1,065",46,1,0,0
84106,"35,892","4,049","31,843","27,577",631,197,"1,396",287,160,"1,502",91,2,0,0
84107,"37,713","6,137","31,576","25,243","1,666",373,"1,829",335,225,"1,796",98,11,0,0
84108,"21,261","1,116","20,145","17,173",159,61,"1,696",63,105,853,34,0,1,0
84109,"24,768","1,382","23,386","21,187",180,90,903,66,92,839,28,0,1,0
84111,"12,162","2,160","10,002","7,798",500,161,821,124,79,493,24,2,0,0
84112,"3,302",506,"2,796","1,929",200,3,468,25,67,101,3,0,0,0
84113,173,28,145,95,11,0,22,4,1,12,0,0,0,0
84114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84115,"27,588","6,509","21,079","15,376","1,603",350,"1,933",312,201,"1,215",77,9,3,0
84116,"35,327","15,396","19,931","13,412","1,602",412,"1,564","1,453",189,"1,193",89,13,4,0
84117,"25,675","2,279","23,396","20,886",330,78,783,129,161,961,65,3,0,0
84118,"41,493","16,892","24,601","19,853",538,295,"1,200","1,240",181,"1,199",88,7,0,0
84119,"54,143","22,692","31,451","21,013","2,189",660,"3,139","2,649",181,"1,533",79,6,2,0
84120,"51,212","19,347","31,865","22,936","1,319",390,"2,914","2,602",160,"1,442",96,6,0,0
84121,"41,628","2,916","38,712","34,778",259,142,"1,380",129,191,"1,710",117,3,3,0
84123,"39,489","8,714","30,775","25,134","1,204",331,"1,577",784,176,"1,494",69,4,2,0
84124,"22,872","1,669","21,203","18,758",251,87,983,94,88,911,31,0,0,0
84128,"31,406","11,901","19,505","15,201",527,229,"1,495",999,87,905,55,5,2,0
84129,"37,421","8,764","28,657","23,563",605,303,"1,792",907,162,"1,248",73,3,1,0
84138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84301,900,44,856,836,2,12,3,0,0,3,0,0,0,0
84302,"26,564","2,819","23,745","22,335",86,230,163,50,29,806,36,7,3,0
84304,38,1,37,37,0,0,0,0,0,0,0,0,0,0
84305,823,31,792,773,0,2,0,0,0,15,2,0,0,0
84306,575,29,546,518,0,4,3,0,2,19,0,0,0,0
84307,"1,592",214,"1,378","1,290",2,14,27,7,5,31,2,0,0,0
84308,302,41,261,254,1,2,1,0,2,1,0,0,0,0
