ZCTA5,Total:,    White alone,    Black or African American alone,    American Indian and Alaska Native alone,    Asian alone,    Native Hawaiian and Other Pacific Islander alone,    Some other race alone,    Two or more races:,        Two races including Some other race,"        Two races excluding Some other race, and three or more races"
81324,"1,506","1,325",0,0,0,0,159,22,0,22
82930,"14,816","13,382",98,52,37,0,489,758,186,572
83342,"1,352","1,261",0,0,0,0,88,3,0,3
84001,684,676,4,0,0,0,0,4,0,4
84002,268,259,0,0,0,0,0,9,9,0
84003,"52,442","46,471",440,121,789,693,"1,145","2,783",544,"2,239"
84004,"10,209","9,632",0,30,90,0,103,354,108,246
84005,"42,222","38,335",176,337,172,18,"1,363","1,821",458,"1,363"
84006,"1,042",876,3,8,1,27,43,84,46,38
84007,414,406,0,0,0,0,8,0,0,0
84008,0,0,0,0,0,0,0,0,0,0
84009,"37,791","32,381",165,11,"1,412",346,"1,703","1,773",677,"1,096"
84010,"47,550","43,246",148,329,574,325,925,"2,003",706,"1,297"
84013,927,926,0,1,0,0,0,0,0,0
84014,"16,711","15,219",183,20,292,268,154,575,237,338
84015,"68,865","58,586",994,380,"1,587",259,"2,819","4,240","1,728","2,512"
84017,"5,089","4,161",69,106,0,0,327,426,332,94
84018,287,287,0,0,0,0,0,0,0,0
84020,"49,978","42,463","1,060",204,"2,127",319,"1,352","2,453","1,059","1,394"
84021,"3,591","3,310",10,26,0,17,148,80,39,41
84022,536,434,34,0,0,0,0,68,0,68
84023,121,121,0,0,0,0,0,0,0,0
84024,52,52,0,0,0,0,0,0,0,0
84025,"24,093","21,922",182,63,697,136,93,"1,000",325,675
84026,825,228,0,597,0,0,0,0,0,0
84027,690,677,0,0,0,0,0,13,1,12
84028,473,402,0,0,0,0,71,0,0,0
84029,"12,733","12,170",27,99,141,0,34,262,204,58
84031,153,153,0,0,0,0,0,0,0,0
84032,"24,238","21,973",142,42,603,4,365,"1,109",811,298
84033,"1,073","1,038",0,0,0,0,7,28,23,5
84034,144,20,0,119,0,1,0,4,0,4
84035,476,476,0,0,0,0,0,0,0,0
84036,"8,317","7,212",26,0,37,2,343,697,476,221
84037,"39,257","36,526",199,144,254,54,239,"1,841",885,956
84038,587,542,0,0,1,0,0,44,44,0
84039,507,395,0,98,0,0,0,14,0,14
84040,"26,384","23,302",289,9,544,146,556,"1,538",685,853
84041,"54,953","46,613","1,157",323,"1,002",628,680,"4,550","1,763","2,787"
84042,"11,346","10,214",35,0,245,99,21,732,366,366
84043,"74,101","67,098",435,204,"1,328",390,"1,350","3,296","1,206","2,090"
84044,"29,128","20,075",318,36,309,438,"5,892","2,060",714,"1,346"
84045,"36,720","32,652",132,17,342,325,394,"2,858","1,394","1,464"
84046,420,382,0,1,0,0,10,27,3,24
84047,"36,275","26,917",966,114,"1,517",955,"2,330","3,476","1,013","2,463"
84049,"6,490","6,298",0,8,13,0,0,171,0,171
84050,"11,875","11,260",82,30,28,60,195,220,85,135
84051,528,506,0,0,0,0,0,22,0,22
84052,"1,267",978,5,175,19,0,32,58,11,47
84053,695,640,0,33,0,0,0,22,3,19
84054,"21,443","18,024",53,13,907,130,298,"2,018","1,689",329
84055,"1,571","1,541",13,0,2,0,15,0,0,0
84056,"3,566","2,820",216,0,113,74,26,317,110,207
84057,"38,600","32,762",235,309,544,400,"1,814","2,536","1,005","1,531"
84058,"33,714","28,303",280,172,725,236,"1,310","2,688","1,266","1,422"
84059,"13,921","12,100",242,72,275,89,293,850,408,442
84060,"8,757","7,509",78,0,277,0,399,494,337,157
84061,359,359,0,0,0,0,0,0,0,0
84062,"47,203","41,996",178,106,647,488,"1,033","2,755","1,322","1,433"
84063,234,155,0,72,1,0,0,6,5,1
84064,976,861,0,0,0,0,1,114,43,71
84065,"49,075","44,103",334,468,878,83,"1,132","2,077","1,233",844
84066,"13,441","11,160",18,"1,039",141,67,409,607,236,371
84067,"39,076","32,713",260,121,653,90,"2,830","2,409",948,"1,461"
84069,507,479,0,2,0,0,8,18,0,18
84070,"30,091","23,821",296,463,"1,019",343,"2,461","1,688",607,"1,081"
84071,"2,168","2,093",0,8,31,0,0,36,12,24
84072,394,387,0,0,0,3,0,4,0,4
84073,316,309,0,0,0,0,0,7,0,7
84074,"53,932","46,441",590,117,311,272,"2,166","4,035","2,150","1,885"
84075,"31,552","28,455",633,157,338,149,278,"1,542",526,"1,016"
84076,464,273,0,146,0,0,0,45,0,45
84078,"29,877","26,660",188,767,163,12,459,"1,628",546,"1,082"
84080,244,226,0,0,0,0,0,18,0,18
84081,"50,596","37,430",808,560,"1,398",564,"4,441","5,395","3,336","2,059"
84082,849,839,0,0,0,0,10,0,0,0
84083,"1,161",720,0,0,5,0,216,220,215,5
84084,"32,514","23,160",387,262,688,977,"4,299","2,741","1,413","1,328"
84085,309,116,0,193,0,0,0,0,0,0
84086,471,452,0,0,0,0,0,19,19,0
84087,"16,133","14,124",316,0,106,347,422,818,201,617
84088,"39,229","30,579",398,282,"1,076",516,"3,480","2,898","1,557","1,341"
84092,"28,197","25,963",185,164,736,31,324,794,144,650
84093,"24,429","22,113",403,15,805,19,93,981,264,717
84094,"28,755","24,401",132,31,"1,371",353,989,"1,478",522,956
84095,"37,835","32,598",197,531,"1,905",151,707,"1,746",755,991
84096,"65,702","57,198",425,228,"1,481",461,859,"5,050","1,779","3,271"
84097,"22,131","19,895",108,139,360,302,353,974,390,584
84098,"19,276","17,518",100,53,394,58,459,694,189,505
84101,"6,422","4,622",498,116,375,67,342,402,171,231
84102,"18,995","15,329",387,130,"1,239",146,501,"1,263",270,993
84103,"22,888","19,982",388,40,820,13,419,"1,226",354,872
84104,"24,809","11,641","1,138",584,940,"1,435","7,384","1,687","1,025",662
84105,"23,117","19,947",324,201,747,60,600,"1,238",425,813
84106,"35,714","30,399",884,390,"1,241",38,"1,076","1,686",538,"1,148"
84107,"36,498","28,770","1,054",249,"1,563",248,"1,633","2,981","1,139","1,842"
84108,"21,736","19,004",259,117,"1,124",40,529,663,231,432
84109,"25,856","23,378",240,88,980,0,244,926,178,748
84111,"12,410","8,780",593,554,938,28,564,953,313,640
84112,"2,393","1,740",31,0,431,9,70,112,11,101
84113,206,140,11,0,15,6,6,28,0,28
84114,0,0,0,0,0,0,0,0,0,0
84115,"27,997","18,084","2,238",736,"2,633",108,"2,357","1,841",479,"1,362"
84116,"35,111","16,247","1,260",649,"3,023","2,339","8,115","3,478","1,612","1,866"
84117,"24,437","21,569",509,91,611,146,304,"1,207",771,436
84118,"41,424","23,697","1,176",658,967,"1,605","9,666","3,655","2,417","1,238"
84119,"51,636","27,362","2,217",888,"2,275","2,095","13,178","3,621","2,138","1,483"
84120,"52,362","29,814","1,139",326,"2,973","2,538","11,522","4,050","2,417","1,633"
84121,"40,151","36,498",245,126,"1,003",151,595,"1,533",428,"1,105"
84123,"37,662","28,359",590,364,"2,217",108,"3,703","2,321","1,189","1,132"
84124,"23,552","20,333",74,86,879,52,694,"1,434",704,730
84128,"32,062","17,138",321,322,"1,188",698,"9,551","2,844","2,098",746
84129,"38,388","26,834",581,264,"3,299",450,"4,138","2,822","1,444","1,378"
84138,0,0,0,0,0,0,0,0,0,0
84150,0,0,0,0,0,0,0,0,0,0
84180,0,0,0,0,0,0,0,0,0,0
84301,760,694,0,6,14,0,0,46,46,0
84302,"26,242","23,639",160,221,176,101,726,"1,219",709,510
84304,106,106,0,0,0,0,0,0,0,0
84305,681,680,0,0,0,0,1,0,0,0
84306,321,321,0,0,0,0,0,0,0,0
84307,"1,186","1,088",4,18,2,0,21,53,8,45
84308,282,265,0,0,0,0,0,17,2,15
84309,435,423,0,3,0,0,0,9,5,4
84310,"5,327","5,181",83,0,63,0,0,0,0,0
84311,951,843,2,0,0,0,7,99,9,90
84312,"4,928","4,467",0,23,45,1,87,305,250,55
84313,38,29,9,0,0,0,0,0,0,0
84314,"1,218","1,197",6,0,5,2,0,8,0,8
84315,"9,326","8,829",0,0,22,85,78,312,294,18
84316,339,324,0,0,0,0,0,15,5,10
84317,"2,682","2,610",0,0,9,0,0,63,61,2
84318,"5,206","5,032",5,46,0,0,19,104,100,4
84319,"9,745","8,425",0,9,76,117,510,608,357,251
84320,"2,602","2,454",0,40,0,0,47,61,22,39
84321,"48,518","42,082",410,261,"1,206",233,"1,813","2,513","1,051","1,462"
84322,0,0,0,0,0,0,0,0,0,0
84324,"1,075","1,020",22,1,1,12,11,8,2,6
84325,"2,166","2,052",16,0,0,0,1,97,10,87
84326,"2,089","1,810",0,0,14,6,167,92,8,84
84327,925,884,5,0,0,0,14,22,8,14
84328,"1,517","1,491",0,4,1,8,0,13,11,2
84329,112,112,0,0,0,0,0,0,0,0
84330,359,344,0,7,0,0,2,6,0,6
84331,269,253,1,2,0,0,5,8,0,8
84332,"8,199","7,509",7,0,52,7,100,524,229,295
84333,"3,025","2,914",14,8,0,0,0,89,20,69
84334,338,338,0,0,0,0,0,0,0,0
84335,"15,615","14,472",0,18,119,0,601,405,155,250
84336,299,299,0,0,0,0,0,0,0,0
84337,"14,401","13,148",103,107,238,0,283,522,380,142
84338,561,545,0,0,1,0,9,6,0,6
84339,"5,865","5,463",27,14,13,38,5,305,138,167
84340,"3,380","3,215",0,3,28,0,82,52,16,36
84341,"24,601","20,691",329,196,970,109,733,"1,573",332,"1,241"
84401,"43,463","35,774",679,580,617,131,"2,925","2,757",877,"1,880"
84403,"36,746","30,814",909,232,509,184,990,"3,108","1,443","1,665"
84404,"64,499","54,544",505,643,697,117,"4,294","3,699","1,360","2,339"
84405,"34,243","30,522",287,118,427,33,980,"1,876","1,360",516
84408,16,12,0,0,4,0,0,0,0,0
84414,"32,336","29,645",55,29,656,17,509,"1,425",539,886
84501,"12,928","11,380",258,52,96,66,320,756,483,273
84511,"4,506","3,385",8,811,35,0,90,177,10,167
84512,789,90,0,695,0,0,0,4,4,0
84513,"1,375","1,350",0,0,0,0,9,16,0,16
84515,0,0,0,0,0,0,0,0,0,0
84516,55,55,0,0,0,0,0,0,0,0
84518,978,952,0,20,0,0,0,6,0,6
84520,"1,134","1,083",0,15,0,0,0,36,0,36
84521,576,538,0,0,0,38,0,0,0,0
84522,375,339,7,0,0,0,0,29,0,29
84523,"1,740","1,737",0,0,0,0,0,3,1,2
84525,822,798,0,0,0,0,0,24,24,0
84526,"4,228","4,027",2,25,0,0,54,120,39,81
84528,"2,835","2,665",0,46,0,0,0,124,0,124
84529,89,89,0,0,0,0,0,0,0,0
84530,113,113,0,0,0,0,0,0,0,0
84531,478,0,0,478,0,0,0,0,0,0
84532,"10,001","9,056",1,353,147,53,153,238,9,229
84533,112,88,11,0,0,0,0,13,0,13
84534,"2,646",30,0,"2,578",0,0,0,38,10,28
84535,"2,968","2,736",37,147,0,0,19,29,11,18
